id,is_working,age_range,education_level,first_question,second_question,third_question,fourth_question,fifth_question,sixth_question,seventh_question,eighth_question,prediction
11,True,1.0,2.0,Sin importar el resultado Yo sigo animándome equipo y trato de mejorar,Depende de qué tanto o de qué tamaño sean los fracasos y éxitos si es un gran fracaso trato de aprender de ello y,El compañerismo sería fundamental la lealtad honestidad y las ganas de apoyar,Comenzaría hablando y Charlando para conocernos mejor,Los animaría hablar de sus momentos más vergonzosos y así romper el hielo con el equipo,Compañerismo y lealtad,Es fundamental debido a que algunas circunstancias o casos dependen de creatividad para realizar el trabajo lo más óptimo,Es importante Ya que es algo que tenemos que pensar y retornar a futuros trabajos,
12,True,4.0,4.0,"Siempre, analizando cada escenario y buscando alternativas y caminos frente a cualquier eventualidad ","Se tiene un grupo diverso, donde predomina el compromiso, sin embargo, hay situación externas que logran afectar el buen ambiente, para cambiarlo se busca mediación, para solucionarlo se debería hacer ejercicio de apoyo a soluciones de conflictos pues en ocasiones lo toman personal. El éxito se celebra y el fracaso se analiza ","Siempre buscar un equilibrio de trabajo, tranquilidad y proyecto de vida.",Buscan espacios de trabajo y apoyo bajo mentoria de un compañero.,Siempre mirando los valores y logros con los que llegaron a ese momento. Motivar con el trabajo y los aprendizajes tenidos.,Se revisan los motivos que generan la desconfianza e intervenir ,Siempre primará la comunicación.,"Siempre que se pueda aplicar y hacer seguimiento, bienvenidos.",
13,True,1.0,2.0,"Como entrenadora le daría motivación a cada uno de los miembros del equipo en caso de no obtener el resultado esperado, de igual forma los incentivaría en la búsqueda de nuevas estrategias. Por otro lado, si el equipo gana, les daría un reconocimiento del logro obtenido, al igual que los motivaría en seguir mejorando sus habilidades.","El funcionamiento actual de mi equipo de trabajo es muy colaborativo y amigable. Me gustaría que mejorara la comunicación, para tener una mayor sincronización a la hora de trabajar. Las acciones que tomaría para mejorarlo es promover reuniones diarias con objetivos claros para abordar las problemáticas o avances que se han tenido a lo largo del proyecto. Los éxitos y los fracasos los abordaría como una oportunidad de mejora, al igual que se retroalimentaría el proceso realizado y se tendrían en cuenta las sugerencias o nuevas ideas que podrían mejorar el trabajo en equipo.","Los factores que considero claves para un crecimiento personal y profesional de un equipo de trabajo, son la comunicación, la motivación, el reconocimiento, la retroalimentación, un ambiente de trabajo ameno y de confianza ","Integraría a la nueva persona, presentándola con cada uno de los miembros del equipo y dando a conocer la importancia de su rol para el trabajo que se esté desarrollando, al igual que aclarándole duras y guiándola a lo largo del proceso de incorporación. De igual forma escucharía sus expectativas y como se va sintiendo a lo largo del proceso. 
Si alguien se siente excluido o se aparta del grupo, hablaría con la persona para comprender el motivo que lo conduce a ello e implementaría estrategias de incorporación con todos los miembros del equipo, como por ejemplo actividades o espacios para fortalecer el trabajo colaborativo","Les daría unas palabras de motivación y destacaría las fortalezas, recordándoles todas aquellas veces que no se han rendido y han logrado lo que se han propuesto, de igual forma le daría importancia a toda la preparación y el esfuerzo contante que han realizado para mejorar sus habilidades tanto de forma individual, como en equipo.","Gestionaría una relación de confianza con una comunicación constante, al igual que se tenga transparencia en lo que se realiza en el equipo, se evidencie el compromiso y que los problemas u obstáculos se resuelvan con respeto.  Por otro lado, en situaciones de desconfianza, analizaría la causa, por medio de diálogos abiertos, aclarando situaciones o eventualidades, con la finalidad de llegar a acuerdos.","La comunicación es un factor clave, sin este no se puede trabajar de forma correcta en equipo y podría conllevar en cometer errores y no cumplir con las metas propuestas. De igual forma, la creatividad es fundamental para construir nuevas ideas y mejorar procesos. ","Considero que se debe mejorar en la automatización tareas repetitivas, en tener reuniones diarias o actividades que permitan mejorar la comunicación e integración del equipo, al igual que tener una mayor claridad de los avances obtenidos u obstáculos presentados. Mejorar la planeación y gestión de proyectos con herramientas. ",
14,True,1.0,1.0,asd,asd,asd,asd,asd,asd,asd,asd,
15,True,5.0,4.0,"Considero que las gestionaría de manera diferente, al que ganó, hacerle ver que hay que seguir trabajando duro y que con frecuencia requiere más esfuerzo del hecho hasta ahora, mantenerse o superarse. Para el perdedor, que no claudique y capitalice lo bueno y lo malo que hizo. ","Grupo heterogéneo, unos tienen una actitud de autogestión e iniciativa, otros esperan que se les señale claramente las acciones a realizar y requieren supervisión permanente.","Plan de carrera, promoción, retos profesionales y reconocimiento.","Le pongo a un reto con alguien del grupo, que sea un reto para los dos.","Podría ser una actividad o taller de integración con elementos deportivos y no deportivos, que los obligue a interactuar y que ojalá sea entretenido.",Asignando responsabilidades y retos,Son fundamentales.,"Lo siento, percibo esta pregunta un poco ambigua, no estoy seguro de que o como responder. ",
16,True,3.0,3.0,"Si se gana se felicita y  se motiva al equipo, si pierde igualmente se motiva y se debe revisar que aspectos se deben mejorar para obtener un mejor resultado.","Es un equipo que tiene una buena disposición en entregar de resultados, me gustaria que funcionara en solidaridad, compromiso, puntualidad, como acción para mejorarlo realizaria seguimientos  con cada integrante  con el fin de saber avances y dificultades para gestionar  entregas, abordaria los exitos  con agradecimiento a cada integrante y el fracaso como un reto para mejorar.","La confianza, reconocimiento de logros, seminarios o cursos de actualización, coordinación.","lo integraria ayudandole con inducción sobre el proceso a desarrollar, presentando las personas que apoyan el área,   si se siente excluido mostrandole que ella es  una  persona que cuenta con capacidad de gestionar y merece estar en el grupo.",Felicitandolo y haciendole saber lo importante que es cada integrante para el equipo.,"La relación de confianza la gestionaría con recompensar al equipo, ser un lider comunicativo, tener una buena información del proceso a desarrollar; la relacion de desconfianza la gestionaria con comunicación individual inicialmente para indagar en que esta fallando cada integrante o cuales pueden ser los posibles obstaculos que encuentran para desarrrollar sus actividades y objetivos, luego realizaria reunion grupal donde se logre determinar posibles salidas a las debilidades de cada integrante y como los demas pueden ayudarlo a tener un apoyo. Las situaciones importantes es estos aspectos son comunicación, liderazgo, objetivos, y metas y resultados eficientes.","Son vitales, son la base de un buen resultado de trabajo.","Analizar, implementar, organización, optimizar nuevas alternativas  de metodos a desarrollar.",
17,False,1.0,2.0,asd,asd,asd,asd,asd,asd,asd,asd,
18,True,1.0,2.0,"Haciéndolos entender los aspectos positivos de la situación, sin hacer tanto énfasis en el resultado, sea ganar o perder siempre las experiencias van sumando y van fortaleciendo el proceso de aprendizaje ",Los éxitos y los fracasos siempre desde el aspecto de como mejorar ,Cursos y talleres en donde se puedan mejorar las habilidades que se requieren para mi trabajo,Preguntándole por sus gustos y como le gusta que lo traten en un equipo ,Se integra con juegos de equipo para generar más integración y la motivación se realiza por medio de charlas en donde se haga énfasis en las fortalezas de cada individuo y las fortalezas del equipo ,Se gestiona de una manera en la que se expresen las dos partes y Como se puede generar un ambiente de confianza ,"Es muy importante sobre todo el tema de la comunicación, para llegar a un acuerdo",No tengo métodos de trabajo establecido ,
19,True,6.0,1.0,"En cualquiera de las dos situaciones le indicaría el saber gestionar la victoria como también la derrota , en ambas situaciones se aprende y dejan enseñanzas para seguir avanzando.","Un equipo de trabajo que enfoca todas sus energías y capacidades en la resolución de todos los retos y tareas a desarrollar. Me gustaría que se fomentara una mayor integración que conlleve logros del grupo y no individuales. Lo anterior mejoraría con una buena y permanente comunicación entre los compañeros de trabajo. Los éxitos como una motivación para seguir creciendo y los fracasos como una enseñanza para replantear, corregir y enfocarme con mayor esfuerzo en esos factores en que se tiene algunas falencias.",De los factores primordiales es ponerse metas en la vida.  pariendo de esta premisa entra en importancia la formación en la que fortalezca sus aptitudes y esforzarse a mejorar en sus debilidades. estos aspectos con planeación y disciplina conllevarán el éxito profesional.,"Al nuevo integrante lo integraría  dándole confianza y a la vez profundizar en que tenga conocimientos del funcionamiento de la empresa y su rol en ella. Si algún integrante del grupo se aparta  o se siente excluido, buscaría allar las causas que generan esta situación para implementar las mejores acciones que conduzcan a subsanar esta situación.",Los motivaría indicándoles que entren a la cancha con el positivismo de que se van a lograr los resultados basados en un juego de equipo y no de lucimiento individual. ,Valorando el esfuerzo y dando reconocimiento por las gestiones realizadas. en situaciones de desconfianza a reconocer  los errores para lo  cual se debe implementar una formación constante.,"La comunicación es fundamental en cualquier actividad de la vida, ya que esta nos permite compartir conocimientos y ser más  resolutivos en tareas asignadas  que complementadas con buenas iniciativas y creatividad mejoraran la el funcionamiento y desempeño de la empresa.",Los métodos de trabajo facilitan el desarrollo de los proyectos. Las mejoras siempre se deben implementar ya que permiten agilizar e  innovar  los procesos. en mi opinión las metodologías son más eficiente optimizando los tiempos de ejecución.,
20,True,3.0,2.0,Tendría un charla personal con esta persona evaluariamos según la cituacion que se presenta sea ganar o perder y se hablaría siempre en posicion de mirar como mejorar y analizar que cosas se han fallado para avanzar al objetivo que se tiene ,"Es un equipo que siempre está dispuesto a aprender y dispuesto a colaborar me gusta que siempre están alertas y dispuesto, accionar siempre el studio y aprendizaje de nuevas tendencias, el fracaso y el éxito siempre tiene una enseñanza y una reflexión ","Disposición del grupo para aprender y aceptar, evaluar y mejorar ","Hablaria con esta persona en privado y le preguntaría cual seria su ideal y cual es su espectavita, y se llegaría a un consenso para que todo funcione en armonía ",Después de unos días fuertes de entrenamiento haría que todos hiciéramos una cena juntos se hablaría de las expectativas los deseos y el enfoque que estamos buscando lograr ,Considero lo más importante es que todo funcione bien que se hablen las cosas que se están viendo de desconfianza y tomar acciones ante la cituacion ,Son el 100 % de importancia ya que la creatividad y la comunicación son el avance del crecimiento ,La confianza la autonomía la gestión el desarrollo la creatividad y la buena comunicación ,
21,True,3.0,3.0,"Mostrándole que está en un camino de aprendizaje y dentro del mismo a veces se gana, otras se pierde, pero siempre se aprende!!",Equipo dinámico y proactivo; Debes motivarlos y retarlos a alcanzar resultados esperados y aprender a lo largo del proceso. Enseñarles a lidiar y trabajar la frustración cuando las cosas no van como se espera. ,"Entender que no solo son trabajadores sino personas con necesidades, capacidades y talentos diversos. Cuando encuentras su talento y lo que lo motiva, debes potenciarlo por ese lado !! ",Generar espacios de integración que fomenten el trabajo en equipo. Buscar el aporte que esa persona puede dar y hacérselo saber a el/ella y al equipo. ,"recordándoles que se prepararon, que entrenaron y no son menos que el otro equipo - debes resaltar lo valiosos que son !! ","cuando te enfocas en los talentos y capacidades de tu equipo y les asignas tareas donde los apliquen, harás que crezca su confianza. 
La desconfianza se trabaja haciendo la tarea junto a él y enseñándole. ","claves y necesarias. creo que se complementan, el socializar te lleva a tener en cuenta otros factores y ser más creativo. ",tareas más puntuales y trabajar en resultados a mediano y largo plazo. ,
22,False,1.0,1.0,asd,asd,asd,asd,asd,asd,asd,asd,
